cohort,year,sex,variable,n,missing_n,missing_pct
KNHANES,2019,female,age,3355,0,0.0
KNHANES,2019,female,bmi,3355,22,0.6557377049180327
KNHANES,2019,female,waist_height_ratio,3355,27,0.804769001490313
KNHANES,2019,female,creatinine_raw,3355,0,0.0
KNHANES,2019,female,educ_cat,3355,175,5.216095380029806
KNHANES,2019,female,kidney_disease,3355,170,5.067064083457526
KNHANES,2019,female,thyroid_disease,3355,169,5.0372578241430706
KNHANES,2019,female,rheumatic_disease,3355,170,5.067064083457526
KNHANES,2019,female,current_smoker,3355,46,1.3710879284649777
KNHANES,2019,female,monthly_drinker,3355,43,1.2816691505216096
KNHANES,2019,male,age,2700,0,0.0
KNHANES,2019,male,bmi,2700,10,0.3703703703703704
KNHANES,2019,male,waist_height_ratio,2700,13,0.4814814814814815
KNHANES,2019,male,creatinine_raw,2700,0,0.0
KNHANES,2019,male,educ_cat,2700,150,5.555555555555555
KNHANES,2019,male,kidney_disease,2700,146,5.407407407407407
KNHANES,2019,male,thyroid_disease,2700,145,5.37037037037037
KNHANES,2019,male,rheumatic_disease,2700,145,5.37037037037037
KNHANES,2019,male,current_smoker,2700,41,1.5185185185185186
KNHANES,2019,male,monthly_drinker,2700,39,1.4444444444444444
KNHANES,2020,female,age,3152,0,0.0
KNHANES,2020,female,bmi,3152,57,1.8083756345177664
KNHANES,2020,female,waist_height_ratio,3152,67,2.1256345177664975
KNHANES,2020,female,creatinine_raw,3152,0,0.0
KNHANES,2020,female,educ_cat,3152,279,8.851522842639593
KNHANES,2020,female,kidney_disease,3152,266,8.439086294416244
KNHANES,2020,female,thyroid_disease,3152,264,8.375634517766498
KNHANES,2020,female,rheumatic_disease,3152,262,8.312182741116752
KNHANES,2020,female,current_smoker,3152,31,0.983502538071066
KNHANES,2020,female,monthly_drinker,3152,31,0.983502538071066
KNHANES,2020,male,age,2569,0,0.0
KNHANES,2020,male,bmi,2569,28,1.08991825613079
KNHANES,2020,male,waist_height_ratio,2569,30,1.1677695601401323
KNHANES,2020,male,creatinine_raw,2569,0,0.0
KNHANES,2020,male,educ_cat,2569,197,7.668353444920202
KNHANES,2020,male,kidney_disease,2569,194,7.551576488906189
KNHANES,2020,male,thyroid_disease,2569,194,7.551576488906189
KNHANES,2020,male,rheumatic_disease,2569,194,7.551576488906189
KNHANES,2020,male,current_smoker,2569,23,0.8952899961074349
KNHANES,2020,male,monthly_drinker,2569,20,0.7785130400934216
KNHANES,2021,female,age,3054,0,0.0
KNHANES,2021,female,bmi,3054,50,1.6371971185330716
KNHANES,2021,female,waist_height_ratio,3054,63,2.06286836935167
KNHANES,2021,female,creatinine_raw,3054,0,0.0
KNHANES,2021,female,educ_cat,3054,191,6.254092992796332
KNHANES,2021,female,kidney_disease,3054,178,5.828421741977734
KNHANES,2021,female,thyroid_disease,3054,176,5.762933857236411
KNHANES,2021,female,rheumatic_disease,3054,176,5.762933857236411
KNHANES,2021,female,current_smoker,3054,33,1.080550098231827
KNHANES,2021,female,monthly_drinker,3054,31,1.015062213490504
KNHANES,2021,male,age,2404,0,0.0
KNHANES,2021,male,bmi,2404,32,1.3311148086522462
KNHANES,2021,male,waist_height_ratio,2404,40,1.6638935108153077
KNHANES,2021,male,creatinine_raw,2404,0,0.0
KNHANES,2021,male,educ_cat,2404,137,5.698835274542429
KNHANES,2021,male,kidney_disease,2404,133,5.532445923460898
KNHANES,2021,male,thyroid_disease,2404,132,5.490848585690515
KNHANES,2021,male,rheumatic_disease,2404,131,5.449251247920133
KNHANES,2021,male,current_smoker,2404,14,0.5823627287853578
KNHANES,2021,male,monthly_drinker,2404,12,0.49916805324459235
NHANES,2021-2023,female,age,3148,0,0.0
NHANES,2021-2023,female,bmi,3148,47,1.4930114358322744
NHANES,2021-2023,female,waist_height_ratio,3148,163,5.1778907242693775
NHANES,2021-2023,female,creatinine_raw,3148,209,6.639135959339263
NHANES,2021-2023,female,educ_cat,3148,1,0.03176620076238882
NHANES,2021-2023,female,kidney_disease,3148,4,0.12706480304955528
NHANES,2021-2023,female,thyroid_disease,3148,4,0.12706480304955528
NHANES,2021-2023,female,rheumatic_disease,3148,208,6.607369758576874
NHANES,2021-2023,female,current_smoker,3148,4,0.12706480304955528
NHANES,2021-2023,female,monthly_drinker,3148,449,14.263024142312581
NHANES,2021-2023,male,age,2583,0,0.0
NHANES,2021-2023,male,bmi,2583,34,1.316298877274487
NHANES,2021-2023,male,waist_height_ratio,2583,105,4.0650406504065035
NHANES,2021-2023,male,creatinine_raw,2583,137,5.303910181958963
NHANES,2021-2023,male,educ_cat,2583,1,0.03871467286101432
NHANES,2021-2023,male,kidney_disease,2583,7,0.27100271002710025
NHANES,2021-2023,male,thyroid_disease,2583,6,0.23228803716608595
NHANES,2021-2023,male,rheumatic_disease,2583,186,7.200929152148665
NHANES,2021-2023,male,current_smoker,2583,3,0.11614401858304298
NHANES,2021-2023,male,monthly_drinker,2583,316,12.233836624080526
