feature,mean_auc_decrease,between_fold_sd,min_fold,max_fold
age,0.16676552521116256,0.01858580168824154,0.14456995175740853,0.1922233009708738
creatinine_raw,0.035598848407488747,0.00525853455263537,0.027031358885017353,0.04002689818054582
bmi,0.013499139882797079,0.004695174627515272,0.005427291523087419,0.01757421602787449
educ_cat,0.007767327340878136,0.006377507034233344,0.0008918169209431781,0.016953143223699507
waist_height_ratio,0.007610901607316883,0.0023633962216527363,0.004265603328710154,0.01012727431770467
current_smoker,0.001440604245549666,0.0017078813725386137,-0.0012524271844660095,0.0033108013937281355
monthly_drinker,0.0013376993827197681,0.003902033589135354,-0.0027319090282565185,0.006779636458476712
kidney_disease,0.0005822265176685604,0.001224578053819575,-0.0010628047322703616,0.002316596687660355
rheumatic_disease,0.0001604794952985755,0.0002444060428812851,-0.00011080139372828812,0.00036733287387989976
thyroid_disease,-6.266195092669901e-05,0.0003521197641581,-0.0006538663400979527,0.0001853658536584035
