panel,metric,men,men_ci_low,men_ci_high,women,women_ci_low,women_ci_high,difference_men_minus_women,diff_ci_low,diff_ci_high
A. Pooled (primary) model evaluated by sex,prevalence,0.05791800965532678,0.04611321887951242,0.06972280043114114,0.12898672917694556,0.11630611801387457,0.14166734034001655,-0.07106871952161878,-0.08580206941331162,-0.05633536962992594
A. Pooled (primary) model evaluated by sex,auc,0.7814086490585774,0.7341778177458079,0.8286394803713469,0.5853429789382485,0.5538153200623254,0.6168706378141716,0.19606567012032894,0.13552638093284186,0.256604959307816
A. Pooled (primary) model evaluated by sex,brier,0.049519384431544404,0.04067114605314739,0.05836762280994142,0.11145914384275875,0.10238560582080798,0.12053268186470951,-0.061939759411214344,-0.07251207347898515,-0.051367445343443535
A. Pooled (primary) model evaluated by sex,calibration_intercept,-0.2870426263887797,-0.6650956454000188,0.09101039262245936,-0.6316331437097963,-1.0571838529803297,-0.20608243443926277,0.3445905173210166,-0.25996350425938747,0.9491445389014206
A. Pooled (primary) model evaluated by sex,calibration_slope,0.9251284870757128,0.7768176927699915,1.0734392813814342,0.6996996195842891,0.46827239205494636,0.9311268471136318,0.22542886749142377,-0.0893551588670286,0.5402128938498761
A. Pooled (primary) model evaluated by sex,sensitivity_sens90,0.5468333665435229,0.46044094373788047,0.6332257893491653,0.9520520418144793,0.9287329348544567,0.9753711487745019,-0.40521867527095645,-0.49884054296754743,-0.3115968075743655
A. Pooled (primary) model evaluated by sex,specificity_sens90,0.8291814244915895,0.8015157383566044,0.8568471106265746,0.11727894424396273,0.10075258403219042,0.13380530445573505,0.7119024802476268,0.6814466624577536,0.7423582980375
A. Pooled (primary) model evaluated by sex,fnr_sens90,0.4531666334564772,0.36677421065083493,0.5395590562621194,0.047947958185520716,0.024628851225498044,0.07126706514554339,0.40521867527095645,0.31159680757436553,0.4988405429675474
A. Pooled (primary) model evaluated by sex,ppv_sens90,0.16444474916704063,0.127967538507763,0.20092195982631827,0.1377223953151403,0.12480745046127252,0.1506373401690081,0.026722353851900332,-0.012180119217775343,0.06562482692157601
A. Pooled (primary) model evaluated by sex,flagged_sens90,0.1925966038061279,0.1658599564191528,0.21933325119310298,0.8916638328783281,0.8765362899865471,0.906791375770109,-0.6990672290722002,-0.7298566317868006,-0.6682778263575998
A. Pooled (primary) model evaluated by sex,sensitivity_spec90,0.37018326528651146,0.31090641172597344,0.4294601188470495,0.2197356761640473,0.1657520169267157,0.2737193354013789,0.15044758912246417,0.06081589315649613,0.2400792850884322
A. Pooled (primary) model evaluated by sex,specificity_spec90,0.9383372619615107,0.92552468160326,0.9511498423197614,0.857201238334378,0.8372740328574663,0.8771284438112897,0.08113602362713268,0.06424631864180577,0.09802572861245959
A. Pooled (primary) model evaluated by sex,fnr_spec90,0.6298167347134886,0.5705398811529506,0.6890935882740267,0.7802643238359527,0.726280664598621,0.8342479830732844,-0.15044758912246403,-0.2400792850884322,-0.060815893156495854
A. Pooled (primary) model evaluated by sex,ppv_spec90,0.26958176448045507,0.2074259961294479,0.33173753283146223,0.18558475082077674,0.13478881918625346,0.23638068245530003,0.08399701365967832,0.011127708431394878,0.15686631888796176
A. Pooled (primary) model evaluated by sex,flagged_spec90,0.07953163291450675,0.06633892507780981,0.0927243407512037,0.15272260261974016,0.1353297687408125,0.1701154364986678,-0.07319096970523341,-0.089471736469299,-0.05691020294116782
B. Sex-specific models in their own group (exploratory),prevalence,0.05791800965532678,0.04611321887951242,0.06972280043114114,0.12898672917694556,0.11630611801387457,0.14166734034001655,-0.07106871952161878,,
B. Sex-specific models in their own group (exploratory),auc,0.7680429941397852,0.7230738073900542,0.8130121808895161,0.5916732475573716,0.5591110200893652,0.624235475025378,0.17636974658241356,,
B. Sex-specific models in their own group (exploratory),brier,0.05014155871385466,0.041157638437825335,0.05912547898988398,0.11222247115382258,0.10308929840091523,0.12135564390672994,-0.062080912439967925,,
B. Sex-specific models in their own group (exploratory),calibration_intercept,-0.5155370361852957,-0.8552640865749142,-0.1758099857956772,-0.7415420490824163,-1.0976087718714225,-0.3854753262934102,0.2260050128971206,,
B. Sex-specific models in their own group (exploratory),calibration_slope,0.7841996005383944,0.6596848211824768,0.908714379894312,0.664715448894324,0.4573668635726018,0.8720640342160462,0.11948415164407045,,
