group,decile,mean_predicted,observed,n,events
pooled,1,0.015792224996129176,0.010186302222305006,574,8
pooled,2,0.028385698264426874,0.03273591961969276,573,24
pooled,3,0.05284786142659294,0.056958690538679614,573,37
pooled,4,0.08411470313387319,0.0632529031399802,573,45
pooled,5,0.09862834437004837,0.10352867329109915,573,54
pooled,6,0.11195601095713258,0.11727944089233684,573,61
pooled,7,0.12761284154753272,0.13410398480451471,573,73
pooled,8,0.1475075497240612,0.1583159989017326,573,88
pooled,9,0.184521837237403,0.1220233809739666,573,73
pooled,10,0.3139086416938824,0.24912886592476086,573,151
male,1,0.007660855528212132,0.0024988272193038007,259,1
male,2,0.01069236212027162,0.024159950995398836,258,7
male,3,0.015614713624292204,0.030765272876573557,258,10
male,4,0.02323537279001139,0.03679054525333841,258,13
male,5,0.03300501209096336,0.03472172875569088,259,13
male,6,0.04630421225107074,0.058032759695064565,258,15
male,7,0.07080950399978361,0.07273298226090075,258,21
male,8,0.10871831554619128,0.05247888223891879,258,17
male,9,0.16387236656459528,0.1554660722186203,258,42
male,10,0.3372405803404176,0.2829847088858481,259,79
female,1,0.07535295226156569,0.032256556776351204,315,14
female,2,0.09425826844049609,0.1316476742814047,315,40
female,3,0.10480723472540157,0.0845702150348933,315,28
female,4,0.11434768744665232,0.09191687489492084,314,28
female,5,0.1248323118287998,0.16995948713681977,315,39
female,6,0.13813664265602388,0.11344630265582135,315,39
female,7,0.15333411809215067,0.1781552247970123,314,53
female,8,0.17158491382728921,0.1398529347455661,315,45
female,9,0.20460955352836172,0.13263224315321964,315,37
female,10,0.3435206306644179,0.21294106599875676,315,73
