group,threshold_basis,target,threshold,cohort,sensitivity,specificity,ppv,npv,flagged_fraction,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,ppv_ci_low,ppv_ci_high,npv_ci_low,npv_ci_high,flagged_fraction_ci_low,flagged_fraction_ci_high
pooled,unweighted_development_oof,sensitivity_90,0.09002304336179877,development,0.9002597402597402,0.44013325494806976,0.16818711180124224,0.9722943722943723,0.5978878960194963,,,,,,,,,,
pooled,unweighted_development_oof,sensitivity_90,0.09002304336179877,external,0.8304049647575549,0.4790629263969409,0.14229345529818468,0.9644656112688365,0.5501085903659744,0.7960210161551478,0.864788913359962,0.4586170342964551,0.49950881849742673,0.13002241483229085,0.15456449576407852,0.9543550857094009,0.974576136828272,0.5312624225046916,0.5689547582272572
pooled,unweighted_development_oof,specificity_90,0.18319667949504295,development,0.3412987012987013,0.9001241100006532,0.30054894784995423,0.9157363104731526,0.1268422884994778,,,,,,,,,,
pooled,unweighted_development_oof,specificity_90,0.18319667949504295,external,0.2649002023418482,0.8984340118368273,0.21349086366464023,0.9215287554372295,0.11696243769173513,0.22640570745267932,0.3033946972310171,0.884301601935162,0.9125664217384925,0.17022429375262457,0.25675743357665587,0.9128963385850276,0.9301611722894313,0.10397710421278421,0.12994777117068607
pooled,survey_weighted_development_oof,sensitivity_90,0.0825020507175477,development,0.9000847519261523,0.48660146758586675,0.15473846856863138,0.9790094580124148,0.5499582927591741,,,,,,,,,,
pooled,survey_weighted_development_oof,sensitivity_90,0.0825020507175477,external,0.8564230853575521,0.4372215385126734,0.13672327697504277,0.9669531527870351,0.5904584221954112,0.8230006295389098,0.8898455411761943,0.4197941006481553,0.45464897637719154,0.12457335142847759,0.14887320252160796,0.956973921043941,0.9769323845301292,0.5740992072178456,0.6068176371729769
pooled,survey_weighted_development_oof,specificity_90,0.16572597730512478,development,0.35439706795647946,0.9001727558742367,0.2704443313839972,0.9303286190258935,0.12389588500485968,,,,,,,,,,
pooled,survey_weighted_development_oof,specificity_90,0.16572597730512478,external,0.2935086026136483,0.8680189144212891,0.18794687566512086,0.9219079572605335,0.14720722956824803,0.25239738753522745,0.33461981769206917,0.8524416855902865,0.8835961432522916,0.15340986045410454,0.22248389087613718,0.912808768465573,0.9310071460554941,0.1325902079724434,0.16182425116405266
male,unweighted_development_oof,sensitivity_90,0.0255143226621153,development,0.9006085192697769,0.5664345403899721,0.12482429013213382,0.9880952380952381,0.4635735696598462,,,,,,,,,,
male,unweighted_development_oof,sensitivity_90,0.0255143226621153,external,0.8049847833682378,0.5283892539536754,0.09497107733967779,0.9778131661396651,0.4909191067587705,0.7405722310261372,0.8693973357103383,0.4905171167256293,0.5662613911817215,0.07645369415358574,0.11348846052576983,0.967567111939532,0.9880592203397981,0.45527687583516524,0.5265613376823757
male,unweighted_development_oof,specificity_90,0.1469586592660943,development,0.563894523326572,0.9,0.2791164658634538,0.9677999101392841,0.1298058125895999,,,,,,,,,,
male,unweighted_development_oof,specificity_90,0.1469586592660943,external,0.43598297628374705,0.9129445897389795,0.23541099427067858,0.9634082579900334,0.10726460039893439,0.3518721951879016,0.5200937573795925,0.8963567815226633,0.9295323979552957,0.17984394524615288,0.29097804329520427,0.9531675213264086,0.9736489946536582,0.09035366509725387,0.1241755357006149
male,survey_weighted_development_oof,sensitivity_90,0.0151255215605503,development,0.9050041564774877,0.4673339727404847,0.07111942946680917,0.9909228418923367,0.5487216554576785,,,,,,,,,,
male,survey_weighted_development_oof,sensitivity_90,0.0151255215605503,external,0.9356984147547897,0.350665327671262,0.08138179690183173,0.9888523016296444,0.6659202903275057,0.8848930306650101,0.9865037988445692,0.31702117369128735,0.3843094816512367,0.06452652806712392,0.09823706573653954,0.9804041617827969,0.997300441476492,0.6324744226719095,0.6993661579831019
male,survey_weighted_development_oof,specificity_90,0.0945873965351596,development,0.585527981182462,0.9006602943053227,0.2098722086000785,0.979683320773911,0.12030467697476956,,,,,,,,,,
male,survey_weighted_development_oof,specificity_90,0.0945873965351596,external,0.5222482900095097,0.8381431704937283,0.16553157055582268,0.96614285650473,0.1827299855953956,0.43277621408388556,0.6117203659351338,0.8162811936514031,0.8600051473360536,0.13036252896193912,0.20070061214970625,0.9553133281112686,0.9769723848981914,0.16099259396085658,0.20446737722993463
female,unweighted_development_oof,sensitivity_90,0.09666999835664852,development,0.9001396648044693,0.22745725181449133,0.17029990751750562,0.9282128514056225,0.7916535927204267,,,,,,,,,,
female,unweighted_development_oof,sensitivity_90,0.09666999835664852,external,0.9096089084925798,0.1616521005921039,0.13843302971311267,0.9235260233670238,0.8475396238875782,0.8801302726020124,0.9390875443831472,0.1407335682241613,0.18257063296004647,0.1262046858999065,0.15066137352631884,0.8965091648532445,0.9505428818808032,0.8279525799321168,0.8671266678430396
female,unweighted_development_oof,specificity_90,0.20070440220733513,development,0.28212290502793297,0.9002337310862345,0.3325102880658436,0.8768272226216152,0.12707875745214936,,,,,,,,,,
female,unweighted_development_oof,specificity_90,0.20070440220733513,external,0.21550656972151086,0.8759265700517143,0.20459323313713154,0.8829008354534891,0.1358670915860125,0.16131309994286339,0.2697000395001583,0.8587931380052028,0.8930600020982257,0.15031035922269242,0.25887610705157066,0.8698094510677036,0.8959922198392746,0.12004252493218227,0.15169165823984276
female,survey_weighted_development_oof,sensitivity_90,0.09510840332907104,development,0.9004894444976763,0.2007542500558597,0.16159418418666843,0.9218319443694141,0.8140354165883735,,,,,,,,,,
female,survey_weighted_development_oof,sensitivity_90,0.09510840332907104,external,0.9250252332640885,0.1494308970226035,0.13871161428125844,0.9308377719073668,0.8601729556902493,0.8982832723072282,0.9517671942209488,0.1308464727371336,0.16801532130807342,0.1261199340239741,0.1513032945385428,0.9044467804521971,0.9572287633625366,0.8429204786149709,0.8774254327655278
female,survey_weighted_development_oof,specificity_90,0.19341247348756913,development,0.2576112351584298,0.9019857804712655,0.31016564211583236,0.8765772925273817,0.12132813225175872,,,,,,,,,,
female,survey_weighted_development_oof,specificity_90,0.19341247348756913,external,0.21972972321514034,0.8529427845176639,0.18118031256618794,0.8806920223241709,0.15643100455587672,0.16452905237913115,0.27493039405114955,0.8327066498348858,0.873178919200442,0.13488885874832707,0.2274717663840488,0.8671010417057172,0.8942830029426245,0.13712138676260205,0.1757406223491514
